amfi_code,stock_symbol,stock_name,sector,weight_pct,market_value_cr,current_price_inr,portfolio_date,weight_pct_normalised
100016,WIPRO,Wipro Ltd,IT,25.9,552.43,579.31,2025-12-31,25.9
100016,MARUTI,Maruti Suzuki India Ltd,Automobile,14.84,486.21,5808.83,2025-12-31,14.84
100016,HINDUNILVR,Hindustan Unilever Ltd,FMCG,11.68,1590.03,2555.06,2025-12-31,11.68
100016,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,11.53,398.6,2074.55,2025-12-31,11.53
100016,DRREDDY,Dr. Reddy's Laboratories,Pharma,9.03,452.67,2212.6,2025-12-31,9.03
100016,BAJFINANCE,Bajaj Finance Ltd,NBFC,7.01,214.89,592.41,2025-12-31,7.01
100016,RELIANCE,Reliance Industries Ltd,Energy,6.09,327.86,6859.37,2025-12-31,6.09
100016,NTPC,NTPC Ltd,Utilities,5.61,1102.98,6325.9,2025-12-31,5.61
100016,CIPLA,Cipla Ltd,Pharma,4.92,1325.34,4188.12,2025-12-31,4.92
100016,ICICIBANK,ICICI Bank Ltd,Banking,3.39,169.92,4888.66,2025-12-31,3.39
100033,M&M,Mahindra & Mahindra Ltd,Automobile,26.07,511.03,3852.87,2025-12-31,26.07
100033,AXISBANK,Axis Bank Ltd,Banking,18.21,1815.93,7431.94,2025-12-31,18.21
100033,SBIN,State Bank of India,Banking,10.29,235.31,3644.77,2025-12-31,10.29
100033,BAJFINANCE,Bajaj Finance Ltd,NBFC,9.86,419.76,2737.28,2025-12-31,9.86
100033,POWERGRID,Power Grid Corporation,Utilities,8.59,569.08,5010.14,2025-12-31,8.59
100033,LT,Larsen & Toubro Ltd,Infrastructure,7.47,1289.6,7294.22,2025-12-31,7.47
100033,ICICIBANK,ICICI Bank Ltd,Banking,7.47,786.14,6616.01,2025-12-31,7.47
100033,BHARTIARTL,Bharti Airtel Ltd,Telecom,7.38,1247.79,3725.91,2025-12-31,7.38
100033,INFY,Infosys Ltd,IT,4.66,708.39,7817.51,2025-12-31,4.66
101206,M&M,Mahindra & Mahindra Ltd,Automobile,19.02,1706.47,3295.1,2025-12-31,19.0181
101206,AXISBANK,Axis Bank Ltd,Banking,18.86,487.84,6609.49,2025-12-31,18.8581
101206,LT,Larsen & Toubro Ltd,Infrastructure,14.91,282.61,4680.8,2025-12-31,14.9085
101206,RELIANCE,Reliance Industries Ltd,Energy,10.11,1665.13,6272.04,2025-12-31,10.109
101206,POWERGRID,Power Grid Corporation,Utilities,9.9,1436.08,6762.78,2025-12-31,9.899
101206,CIPLA,Cipla Ltd,Pharma,6.25,172.92,5588.68,2025-12-31,6.2494
101206,INDUSINDBK,IndusInd Bank Ltd,Banking,6.23,1473.28,1335.09,2025-12-31,6.2294
101206,MARUTI,Maruti Suzuki India Ltd,Automobile,5.99,1436.34,4697.14,2025-12-31,5.9894
101206,BHARTIARTL,Bharti Airtel Ltd,Telecom,5.2,504.86,854.49,2025-12-31,5.1995
101206,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,3.54,519.75,5034.91,2025-12-31,3.5396
101207,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,35.07,285.75,5455.74,2025-12-31,35.0735
101207,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,19.26,1295.94,1039.64,2025-12-31,19.2619
101207,M&M,Mahindra & Mahindra Ltd,Automobile,12.01,1615.91,2852.68,2025-12-31,12.0112
101207,ULTRACEMCO,UltraTech Cement Ltd,Cement,10.31,1486.25,364.82,2025-12-31,10.311
101207,RELIANCE,Reliance Industries Ltd,Energy,8.1,939.21,7103.06,2025-12-31,8.1008
101207,HCLTECH,HCL Technologies Ltd,IT,7.7,125.97,7023.37,2025-12-31,7.7008
101207,TATAMOTOR,Tata Motors Ltd,Automobile,4.84,623.33,2445.29,2025-12-31,4.8405
101207,LT,Larsen & Toubro Ltd,Infrastructure,2.7,74.35,4843.16,2025-12-31,2.7003
102885,NTPC,NTPC Ltd,Utilities,28.95,994.9,4140.59,2025-12-31,28.95
102885,INDUSINDBK,IndusInd Bank Ltd,Banking,21.75,112.98,5206.32,2025-12-31,21.75
102885,MARUTI,Maruti Suzuki India Ltd,Automobile,14.32,289.91,4924.89,2025-12-31,14.32
102885,GRASIM,Grasim Industries Ltd,Diversified,7.59,1873.94,2243.25,2025-12-31,7.59
102885,HCLTECH,HCL Technologies Ltd,IT,7.11,300.72,6989.33,2025-12-31,7.11
102885,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,7.05,1831.03,5143.85,2025-12-31,7.05
102885,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,6.59,686.86,5523.71,2025-12-31,6.59
102885,NESTLEIND,Nestle India Ltd,FMCG,5.26,60.84,437.69,2025-12-31,5.26
102885,KOTAKBANK,Kotak Mahindra Bank,Banking,1.38,1157.83,1089.14,2025-12-31,1.38
102886,TITAN,Titan Company Ltd,Consumer Goods,18.99,1797.48,4089.04,2025-12-31,18.9938
102886,TATAMOTOR,Tata Motors Ltd,Automobile,14.13,1899.26,7301.8,2025-12-31,14.1328
102886,ASIANPAINT,Asian Paints Ltd,Paints,12.56,1621.24,438.37,2025-12-31,12.5625
102886,INFY,Infosys Ltd,IT,12.23,1519.3,5784.12,2025-12-31,12.2324
102886,NESTLEIND,Nestle India Ltd,FMCG,8.39,214.19,1841.42,2025-12-31,8.3917
102886,NTPC,NTPC Ltd,Utilities,7.45,674.08,2946.22,2025-12-31,7.4515
102886,RELIANCE,Reliance Industries Ltd,Energy,7.29,1332.3,2766.01,2025-12-31,7.2915
102886,POWERGRID,Power Grid Corporation,Utilities,6.26,109.7,5666.75,2025-12-31,6.2613
102886,LT,Larsen & Toubro Ltd,Infrastructure,5.69,361.01,6161.34,2025-12-31,5.6911
102886,CIPLA,Cipla Ltd,Pharma,4.96,1559.12,3495.4,2025-12-31,4.961
102886,BHARTIARTL,Bharti Airtel Ltd,Telecom,2.03,432.92,734.47,2025-12-31,2.0304
102887,CIPLA,Cipla Ltd,Pharma,19.73,1599.0,2093.34,2025-12-31,19.728
102887,DRREDDY,Dr. Reddy's Laboratories,Pharma,19.31,1051.37,438.41,2025-12-31,19.3081
102887,GRASIM,Grasim Industries Ltd,Diversified,12.16,396.63,7059.58,2025-12-31,12.1588
102887,KOTAKBANK,Kotak Mahindra Bank,Banking,10.95,1635.39,4619.66,2025-12-31,10.9489
102887,INFY,Infosys Ltd,IT,10.14,512.93,3567.17,2025-12-31,10.139
102887,SBIN,State Bank of India,Banking,8.37,1660.53,768.79,2025-12-31,8.3692
102887,HDFCBANK,HDFC Bank Ltd,Banking,5.85,436.89,3243.62,2025-12-31,5.8494
102887,M&M,Mahindra & Mahindra Ltd,Automobile,4.77,1593.15,7144.77,2025-12-31,4.7695
102887,MARUTI,Maruti Suzuki India Ltd,Automobile,4.66,1455.73,4842.0,2025-12-31,4.6595
102887,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,4.07,1193.53,3304.74,2025-12-31,4.0696
118632,BHARTIARTL,Bharti Airtel Ltd,Telecom,30.44,1574.52,6271.17,2025-12-31,30.4339
118632,NESTLEIND,Nestle India Ltd,FMCG,13.33,857.97,1607.57,2025-12-31,13.3273
118632,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,12.5,1293.86,5022.73,2025-12-31,12.4975
118632,GRASIM,Grasim Industries Ltd,Diversified,11.98,599.35,7649.77,2025-12-31,11.9776
118632,ICICIBANK,ICICI Bank Ltd,Banking,10.91,725.38,4476.73,2025-12-31,10.9078
118632,DIVISLAB,Divi's Laboratories,Pharma,9.85,1069.59,7863.69,2025-12-31,9.848
118632,HDFCBANK,HDFC Bank Ltd,Banking,6.57,1774.48,398.27,2025-12-31,6.5687
118632,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,4.44,719.2,2224.5,2025-12-31,4.4391
118633,AXISBANK,Axis Bank Ltd,Banking,20.73,1703.38,6184.87,2025-12-31,20.73
118633,WIPRO,Wipro Ltd,IT,14.41,681.49,1451.32,2025-12-31,14.41
118633,TITAN,Titan Company Ltd,Consumer Goods,12.43,1593.88,3276.69,2025-12-31,12.43
118633,HCLTECH,HCL Technologies Ltd,IT,11.14,1999.5,2556.23,2025-12-31,11.14
118633,DIVISLAB,Divi's Laboratories,Pharma,10.94,863.48,2546.04,2025-12-31,10.94
118633,BAJFINANCE,Bajaj Finance Ltd,NBFC,9.38,442.46,920.38,2025-12-31,9.38
118633,INDUSINDBK,IndusInd Bank Ltd,Banking,5.4,501.53,3746.36,2025-12-31,5.4
118633,KOTAKBANK,Kotak Mahindra Bank,Banking,4.59,1071.93,5455.62,2025-12-31,4.59
118633,HINDUNILVR,Hindustan Unilever Ltd,FMCG,4.25,550.74,317.36,2025-12-31,4.25
118633,HDFCBANK,HDFC Bank Ltd,Banking,3.46,1623.67,4895.39,2025-12-31,3.46
118633,M&M,Mahindra & Mahindra Ltd,Automobile,3.27,755.82,2168.75,2025-12-31,3.27
118634,NESTLEIND,Nestle India Ltd,FMCG,13.59,1354.21,7435.21,2025-12-31,13.59
118634,WIPRO,Wipro Ltd,IT,12.32,962.56,3849.96,2025-12-31,12.32
118634,TITAN,Titan Company Ltd,Consumer Goods,12.26,1344.96,4192.5,2025-12-31,12.26
118634,AXISBANK,Axis Bank Ltd,Banking,11.75,1855.52,5167.42,2025-12-31,11.75
